id	character	keyword	frame	reviewed
rtk2933	馨	ambrosial	2933	no
rtk2934	牒	label	2934	no
rtk2935	瞥	glimpse	2935	yes
rtk2936	睾	testicle	2936	yes
rtk2937	巫	sorceress	2937	no
rtk2938	敦	empathetic	2938	yes
rtk2939	奎	andromeda	2939	no
rtk2940	翔	soar	2940	yes
rtk2941	皓	beaming	2941	no
rtk2942	黎	tenebrous	2942	no
rtk2943	赳	bold	2943	no
rtk2944	已	stop short	2944	no
rtk2945	棘	thornbush	2945	no
rtk2946	祟	haunt	2946	no
rtk2947	甦	resuscitate	2947	no
rtk2948	剪	pruning	2948	yes
rtk2949	躾	upbringing	2949	yes
rtk2950	夥	plentiful	2950	no
rtk2951	鼾	snore	2951	no
rtk2952	陀	steeply inclined	2952	yes
rtk2953	粁	kilometer	2953	no
rtk2954	糎	centimeter	2954	no
rtk2955	粍	millimeter	2955	no
rtk2956	噸	ton	2956	yes
rtk2957	哩	mile	2957	no
rtk2958	浬	nautical mile	2958	no
rtk2959	吋	inch	2959	no
rtk2960	呎	foot	2960	no
rtk2961	梵	brahman	2961	no
rtk2962	薩	bodhisattva	2962	yes
rtk2963	菩	bo tree	2963	no
rtk2964	唖	babble	2964	no
rtk2965	牟	moo	2965	no
rtk2966	迦	sanskrit ka	2966	no
rtk2967	珈	jeweled hairpin	2967	no
rtk2968	琲	beaded hairpin	2968	no
rtk2969	檜	japanese cypress (old)	2969	yes
rtk2970	轡	tinkling bell	2970	no
rtk2971	淵	abyss (old)	2971	no
rtk2972	伍	v	2972	yes
rtk2973	什	x	2973	yes
rtk2974	萬	ten thousand (old)	2974	no
rtk2975	邁	pass through	2975	no
rtk2976	燭	candlelight	2976	yes
rtk2977	逞	tough	2977	no
rtk2978	燈	lamp (old)	2978	yes
rtk2979	裡	back (old)	2979	no
rtk2980	薗	park (alternate)	2980	no
rtk2981	鋪	shop (alternate)	2981	no
rtk2982	嶋	island (alternate)	2982	no
rtk2983	峯	summit (alternate)	2983	no
rtk2984	埜	plains (old)	2984	no
rtk2985	龍	dragon (old)	2985	no
rtk2986	寵	patronage	2986	yes
rtk2987	聾	deafness	2987	no
rtk2988	慾	longing (old)	2988	no
rtk2989	嶽	point (old)	2989	no
rtk2990	國	country (old)	2990	no
rtk2991	脛	shin	2991	no
rtk2992	勁	formidable	2992	no
rtk2993	祀	enshrine	2993	no
rtk2994	祓	exorcism	2994	no
rtk2995	躇	dither	2995	no
rtk2996	壽	longevity (old)	2996	no
rtk2997	躊	hesitate	2997	no
rtk2998	饅	bean jam	2998	yes
rtk2999	嘔	retch	2999	no
rtk3000	鼈	snapping turtle	3000	yes
